,Rk,Unnamed: 1,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
0,1,Ray Allen,23,50,1719,18.9,0.564,0.309,0.29,4.1,10.7,7.4,18.8,1.7,0.3,13.9,24.5,,4.2,1.1,5.2,0.146,,3.5,-1.0,2.4,1.9
1,2,Glenn Robinson,26,47,1579,19.7,0.523,0.104,0.213,5.7,15.3,10.5,12.5,1.6,2.1,11.4,28.2,,2.5,1.5,4.0,0.122,,2.7,-0.8,1.9,1.5
2,3,Michael Curry,30,50,1146,8.7,0.507,0.073,0.383,2.0,9.2,5.7,10.5,2.0,0.5,13.3,11.6,,0.9,0.8,1.7,0.07,,-3.0,0.7,-2.3,-0.1
3,4,Vinny Del Negro,32,48,1093,12.3,0.481,0.111,0.185,1.6,9.6,5.6,25.5,1.7,0.2,15.9,15.2,,1.0,0.6,1.6,0.07,,-0.4,-0.5,-0.9,0.3
4,5,Ervin Johnson,31,50,1027,14.5,0.544,0.0,0.556,14.3,23.2,18.8,2.9,1.6,4.6,16.7,13.1,,1.4,1.6,3.0,0.14,,-1.1,0.2,-0.8,0.3
5,6,Dell Curry,34,42,864,18.7,0.603,0.432,0.101,2.6,9.2,5.9,10.3,2.3,0.3,11.4,21.9,,2.0,0.6,2.6,0.144,,4.4,-0.5,4.0,1.3
6,7,Haywoode Workman,33,29,815,14.1,0.524,0.276,0.276,2.1,12.8,7.6,33.1,2.2,0.1,24.8,14.9,,0.9,0.7,1.6,0.091,,0.5,-0.2,0.3,0.5
7,8,Robert Traylor,21,49,786,17.0,0.548,0.005,0.398,12.5,15.4,14.0,8.2,3.1,4.6,15.1,16.9,,1.3,1.2,2.5,0.152,,-0.8,1.7,0.9,0.6
8,9,Armen Gilliam,34,34,668,15.9,0.525,0.004,0.453,6.0,16.6,11.4,4.9,1.8,1.5,11.9,21.7,,0.9,0.7,1.5,0.11,,0.1,-0.7,-0.6,0.2
9,10,Tim Thomas,21,33,624,16.9,0.558,0.231,0.415,8.2,9.7,9.0,8.9,2.0,1.2,11.0,21.6,,1.4,0.5,1.8,0.141,,1.5,-0.6,0.9,0.5
10,11,Tyrone Hill,30,17,517,12.3,0.475,0.0,0.686,12.1,19.1,15.6,5.2,1.9,1.3,13.5,16.4,,0.4,0.6,1.0,0.093,,-2.1,-0.7,-2.8,-0.1
11,12,Terrell Brandon,28,15,505,17.4,0.458,0.135,0.149,2.7,9.9,6.3,36.8,2.6,0.5,14.0,24.4,,0.5,0.4,0.9,0.083,,1.7,-0.3,1.5,0.4
12,13,Chris Gatling,31,30,494,12.6,0.474,0.042,0.411,7.7,20.0,13.9,7.2,2.7,1.0,14.3,22.4,,-0.2,0.7,0.5,0.046,,-3.5,-0.7,-4.2,-0.3
13,14,Sam Cassell,29,4,99,22.5,0.525,0.068,0.432,4.9,6.0,5.5,31.5,3.3,0.0,13.3,29.1,,0.3,0.1,0.4,0.179,,3.2,0.5,3.7,0.1
14,15,Elliot Perry,29,5,47,27.3,0.559,0.059,0.118,2.6,17.7,10.3,47.6,4.7,0.0,10.1,20.2,,0.2,0.1,0.3,0.282,,5.6,4.8,10.4,0.1
15,16,Scott Williams,30,5,29,12.2,0.387,0.0,0.467,8.4,41.0,25.0,0.0,1.9,2.8,10.0,33.1,,-0.1,0.1,0.0,-0.013,,-7.7,-3.0,-10.8,-0.1
16,17,Adonis Jordan,28,4,18,18.9,0.521,0.5,1.0,0.0,0.0,0.0,27.0,9.2,0.0,25.8,20.6,,0.0,0.0,0.0,0.081,,1.3,6.0,7.3,0.0
17,18,Jerald Honeycutt,24,3,12,0.2,0.425,0.6,0.4,0.0,9.9,5.0,0.0,4.6,0.0,14.5,27.4,,0.0,0.0,0.0,-0.068,,-16.1,1.0,-15.0,0.0
18,19,Paul Grant,25,2,5,10.9,0.5,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,33.3,28.7,,0.0,0.0,0.0,-0.148,,-6.7,3.3,-3.4,0.0
19,20,Jamie Feick,24,2,3,-1.7,0.0,0.0,0.0,0.0,79.3,40.2,0.0,0.0,0.0,0.0,15.9,,0.0,0.0,0.0,-0.196,,-7.7,-4.5,-12.2,0.0
