,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
,Rk,Unnamed: 1_level_1,Age,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
0,1,Ray Allen,23,50,1719,,78%,22%,,,5.8,6.5,52,37,52,11,79,,391,18,29
1,2,Glenn Robinson,26,47,1579,,,58%,40%,2%,7.7,10.8,52,24,59,10,61,,223,12,38
2,3,Michael Curry,30,50,1146,,6%,83%,11%,,1.7,-4.4,16,5,54,10,34,,169,5,7
3,4,Vinny Del Negro,32,48,1093,83%,18%,,,,-0.1,-7.4,37,11,24,3,18,,392,4,5
4,5,Ervin Johnson,31,50,1027,,,,,100%,0.0,-6.9,13,12,86,7,52,,40,13,15
5,6,Dell Curry,34,42,864,5%,91%,4%,,,2.3,-2.5,25,16,22,0,8,,101,0,9
6,7,Haywoode Workman,33,29,815,100%,,,,,6.8,4.3,39,15,23,2,13,,371,3,7
7,8,Robert Traylor,21,49,786,,,,5%,95%,9.5,8.1,4,13,64,12,35,,85,8,24
8,9,Armen Gilliam,34,34,668,,,,74%,26%,-1.2,-7.2,9,11,21,5,44,,44,3,13
9,10,Tim Thomas,21,33,624,,,20%,75%,5%,-0.3,-5.8,12,6,52,4,37,,69,4,15
10,11,Tyrone Hill,30,17,517,,,,60%,40%,8.8,6.1,4,4,35,5,31,,40,5,15
11,12,Terrell Brandon,28,15,505,100%,,,,,5.1,1.4,26,7,11,0,13,,229,4,4
12,13,Chris Gatling,31,30,494,,,,62%,38%,2.6,-1.7,10,9,27,11,31,,44,7,6
13,14,Sam Cassell,29,4,99,79%,21%,,,,20.0,16.8,3,2,3,0,7,,35,1,4
14,15,Elliot Perry,29,5,47,100%,,,,,14.7,11.0,2,0,0,0,0,,30,0,3
15,16,Scott Williams,30,5,29,,,,67%,33%,-29.8,-34.2,0,0,2,1,2,,0,1,0
16,17,Adonis Jordan,28,4,18,84%,16%,,,,-36.9,-41.2,1,1,0,0,1,,7,0,0
17,18,Jerald Honeycutt,24,3,12,,,43%,57%,,43.8,40.1,0,0,3,1,1,,0,0,0
18,19,Paul Grant,25,2,5,,,,,100%,20.0,16.1,0,1,0,0,0,,0,0,0
19,20,Jamie Feick,24,2,3,,,,100%,,-69.1,-73.2,0,0,0,0,0,,0,0,0
