,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,Unnamed: 14_level_0,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 21_level_0,% of FG Ast'd,% of FG Ast'd,Unnamed: 24_level_0,Dunks,Dunks,Unnamed: 27_level_0,Corner 3s,Corner 3s,Unnamed: 30_level_0,Heaves,Heaves
,Rk,Unnamed: 1_level_1,Age,G,MP,FG%,Dist.,Unnamed: 7_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 14_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 21_level_1,2P,3P,Unnamed: 24_level_1,%FGA,#,Unnamed: 27_level_1,%3PA,3P%,Unnamed: 30_level_1,Att.,#
0,1,Ray Allen,25,82,3129,0.48,14.7,,0.643,0.235,0.086,0.183,0.14,0.357,,0.506,0.659,0.429,0.418,0.41,0.433,,0.437,0.856,,0.027,31,,0.27,0.5,,1,0
1,2,Glenn Robinson,28,76,2813,0.468,12.9,,0.874,0.145,0.169,0.362,0.199,0.126,,0.493,0.602,0.494,0.487,0.424,0.299,,0.566,0.873,,0.028,40,,0.185,0.206,,4,0
2,3,Sam Cassell,31,76,2709,0.474,13.2,,0.913,0.14,0.103,0.413,0.258,0.087,,0.49,0.601,0.385,0.471,0.503,0.306,,0.333,0.833,,0.0,0,,0.316,0.387,,1,0
3,4,Tim Thomas,23,76,2086,0.43,14.2,,0.657,0.251,0.109,0.173,0.124,0.343,,0.44,0.574,0.349,0.359,0.362,0.412,,0.621,0.972,,0.061,42,,0.327,0.471,,3,0
4,5,Lindsey Hunter,30,82,2002,0.381,19.4,,0.48,0.089,0.051,0.114,0.226,0.52,,0.388,0.429,0.275,0.438,0.373,0.373,,0.473,0.862,,0.001,1,,0.258,0.371,,0,0
5,6,Ervin Johnson,33,82,1981,0.545,3.2,,1.0,0.621,0.263,0.106,0.01,0.0,,0.545,0.642,0.404,0.333,0.5,,,0.556,,,0.096,17,,,,,0,0
6,7,Jason Caffey,27,70,1460,0.488,4.6,,1.0,0.54,0.232,0.207,0.022,0.0,,0.488,0.571,0.365,0.434,0.25,,,0.665,,,0.084,27,,,,,0,0
7,8,Scott Williams,32,66,1272,0.474,10.0,,0.989,0.28,0.133,0.377,0.199,0.011,,0.476,0.594,0.479,0.471,0.319,0.25,,0.8,0.0,,0.03,10,,0.25,0.0,,2,1
8,9,Mark Pope,28,63,942,0.437,10.2,,0.831,0.444,0.07,0.077,0.239,0.169,,0.483,0.635,0.2,0.273,0.353,0.208,,0.719,1.0,,0.056,8,,0.667,0.25,,0,0
9,10,Darvin Ham,27,29,540,0.488,6.8,,0.963,0.575,0.113,0.213,0.063,0.038,,0.481,0.587,0.333,0.353,0.2,0.667,,0.784,0.0,,0.3,20,,0.0,,,3,2
10,11,Rafer Alston,24,37,288,0.357,15.8,,0.643,0.179,0.107,0.107,0.25,0.357,,0.407,0.533,0.333,0.667,0.238,0.267,,0.455,1.0,,0.0,0,,0.233,0.286,,0,0
11,12,Joel Przybilla,21,33,270,0.343,1.3,,1.0,0.8,0.2,0.0,0.0,0.0,,0.343,0.393,0.143,,,,,0.833,,,0.143,4,,,,,0,0
12,13,Jerome Kersey,38,22,243,0.464,15.8,,0.986,0.101,0.014,0.362,0.507,0.014,,0.471,0.571,0.0,0.56,0.4,0.0,,0.813,,,0.0,0,,0.0,,,1,0
13,14,Michael Redd,21,6,35,0.263,11.0,,0.842,0.368,0.053,0.211,0.211,0.158,,0.313,0.429,0.0,0.0,0.5,0.0,,0.6,,,0.0,0,,0.333,0.0,,0,0
14,15,Jason Hart,22,1,10,1.0,0.0,,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,1.0,,,,,,0.0,,,0.0,0,,,,,0,0
