,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Unnamed: 14_level_0,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
,Rk,Unnamed: 1_level_1,Age,G,MP,Unnamed: 5_level_1,FG,2P,3P,eFG,FT,TS,FTr,3PAr,Unnamed: 14_level_1,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,Unnamed: 23_level_1,FG Add,TS Add
0,1.0,Sam Cassell,33.0,78.0,2700.0,,0.47,0.487,0.362,0.495,0.861,0.565,0.385,0.14,,106.0,105.0,104.0,105.0,114.0,109.0,127.0,77.0,,49.7,124.7
1,2.0,Tim Thomas,25.0,80.0,2358.0,,0.443,0.474,0.366,0.495,0.78,0.527,0.2,0.285,,100.0,102.0,105.0,104.0,103.0,101.0,66.0,157.0,,39.6,15.0
2,3.0,Michael Redd,23.0,82.0,2316.0,,0.469,0.492,0.438,0.562,0.805,0.59,0.191,0.428,,106.0,106.0,125.0,119.0,106.0,114.0,63.0,236.0,,171.7,147.9
3,4.0,Anthony Mason,36.0,65.0,2119.0,,0.486,0.487,0.0,0.486,0.718,0.524,0.298,0.003,,110.0,105.0,0.0,103.0,95.0,101.0,98.0,1.0,,9.5,4.3
4,5.0,Toni KukoÄ,34.0,63.0,1704.0,,0.432,0.49,0.361,0.514,0.706,0.551,0.336,0.456,,98.0,106.0,103.0,108.0,93.0,106.0,111.0,251.0,,46.1,42.0
5,6.0,Ray Allen,27.0,47.0,1683.0,,0.437,0.463,0.395,0.514,0.913,0.564,0.243,0.387,,99.0,100.0,113.0,108.0,120.0,109.0,80.0,213.0,,63.9,79.8
6,7.0,Ervin Johnson,35.0,69.0,1170.0,,0.452,0.452,,0.452,0.682,0.492,0.326,0.0,,102.0,98.0,,95.0,90.0,95.0,108.0,0.0,,-5.9,-8.3
7,8.0,Kevin Ollie,30.0,53.0,1127.0,,0.459,0.464,0.2,0.461,0.747,0.513,0.357,0.02,,104.0,100.0,57.0,97.0,99.0,99.0,118.0,11.0,,-6.7,-3.5
8,9.0,Gary Payton,34.0,28.0,1085.0,,0.466,0.495,0.294,0.487,0.746,0.523,0.249,0.143,,105.0,107.0,84.0,103.0,98.0,101.0,82.0,79.0,,12.8,3.7
9,10.0,Desmond Mason,25.0,28.0,952.0,,0.474,0.483,0.294,0.481,0.765,0.525,0.291,0.049,,107.0,104.0,84.0,102.0,101.0,101.0,96.0,27.0,,5.3,4.8
10,11.0,Jason Caffey,29.0,51.0,894.0,,0.456,0.456,,0.456,0.651,0.501,0.427,0.0,,103.0,98.0,,96.0,86.0,96.0,141.0,0.0,,-9.0,-11.0
11,12.0,Dan Gadzuric,24.0,49.0,760.0,,0.483,0.486,0.0,0.483,0.518,0.498,0.386,0.007,,109.0,105.0,0.0,102.0,68.0,96.0,128.0,4.0,,2.6,-7.2
12,13.0,Joel Przybilla,23.0,32.0,546.0,,0.391,0.391,,0.391,0.5,0.424,0.522,0.0,,89.0,85.0,,83.0,66.0,82.0,173.0,0.0,,-7.6,-10.7
13,14.0,Marcus Haislip,22.0,39.0,441.0,,0.431,0.447,0.25,0.441,0.684,0.474,0.248,0.078,,98.0,97.0,72.0,93.0,90.0,91.0,82.0,43.0,,-10.0,-15.3
14,15.0,Ronald Murray,23.0,12.0,42.0,,0.346,0.409,0.0,0.346,0.625,0.39,0.308,0.154,,78.0,88.0,0.0,73.0,82.0,75.0,102.0,85.0,,-6.6,-7.7
15,16.0,Jamal Sampson,19.0,5.0,8.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,,-1.9,-2.1
16,,Team,,,,,0.457,0.478,0.383,0.5,0.776,0.543,0.287,0.229,,103.0,103.0,110.0,106.0,102.0,105.0,95.0,126.0,,353.5,356.4
17,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,League Average,,,,,0.442,0.463,0.349,0.474,0.758,0.519,0.302,0.182,,,,,,,,,,,,
